#{"t_start": 1718913807.7197723, "env_id": "onestep-v0"}
r,l,t
-5.6215,56,6.687152
-4.1561,61,7.050433
-5.5186,61,7.479269
-4.3729,61,7.983437
-2.1658,19,10.178312
-5.5156,61,10.524478
-4.1211,27,10.695175
-3.2071,21,10.836026
-2.2073,20,10.955864
-5.6383,38,11.342438
-7.2809,61,11.679188
-2.2,10,11.728281
-1.0172,2,11.73927
-6.0042,61,13.626884
-4.6699,36,13.808883
-5.8456,54,14.408859
-5.0872,61,14.764939
-3.839,55,15.142073
-3.3075,42,16.899553
-2.49,17,17.031559
-4.366,37,17.286085
-4.8601,61,17.642335
-2.7829,22,17.772225
-5.3602,61,18.127611
-2.1103,61,19.989856
