#{"t_start": 1718913807.6957633, "env_id": "onestep-v0"}
r,l,t
-3.8661,61,6.751161
-4.7802,61,7.108488
-2.5516,15,7.213927
-1.393,7,7.267926
-0.7172,3,7.292925
-4.9727,46,7.596274
-5.3728,55,8.093447
-3.1041,22,10.27684
-2.3557,31,10.435306
-5.8072,45,10.718194
-4.7803,61,11.188494
-2.1628,22,11.386525
-4.1557,34,11.583207
-6.7559,61,13.412175
-1.393,10,13.483185
-5.4601,61,13.832892
-4.456,61,14.475765
-4.5701,61,14.826988
-4.3596,32,15.037006
-3.6832,55,16.907647
-2.8285,19,17.047561
-3.219,61,17.44426
-5.1388,61,17.807924
-4.8429,61,18.1601
-2.7416,30,19.840143
-5.3458,61,20.212179
