#{"t_start": 1718913807.720771, "env_id": "onestep-v0"}
r,l,t
-3.5384,23,6.520777
-4.6486,43,6.758153
-4.6045,61,7.117489
-4.153,61,7.541266
-5.6184,61,8.080439
-1.2828,2,8.097439
-3.5002,38,10.356298
-2.0899,13,10.426298
-3.5559,42,10.670185
-3.5556,19,10.80981
-3.6044,61,11.332065
-1.8901,14,11.414354
-2.9731,61,11.746189
-2.4656,9,11.79619
-2.6245,36,13.519249
-4.8044,61,13.921802
-4.266,55,14.473845
-3.8431,61,14.825941
-3.5975,61,16.773189
-6.8458,61,17.168062
-1.7414,7,17.214086
-2.5314,14,17.304108
-1.2172,3,17.323086
-5.0117,61,17.675159
-3.6943,61,18.034841
-4.0043,29,18.203242
-1.4,5,18.236216
-3.4044,61,20.090078
-2.2828,8,20.137581
-2.7586,14,20.256857
-0.6274,10,20.327941
