#{"t_start": 1718913807.6163836, "env_id": "onestep-v0"}
r,l,t
-4.4314,38,6.700558
-4.036,61,7.045326
-4.1974,46,7.355305
-6.0255,61,7.789654
-4.2917,61,10.3377
-3.3146,61,10.674114
-4.9774,61,11.089635
-3.2973,41,11.472903
-4.38,34,11.672668
-4.7213,61,13.503649
-1.1657,7,13.549639
-5.3431,61,13.89819
-3.0903,61,14.542145
-0.3416,11,14.60719
-4.6973,61,14.956804
-5.7116,55,16.870353
-1.1243,10,16.929751
-5.5943,56,17.297495
-2.4489,40,17.542639
-4.7802,61,17.906661
-2.5556,19,18.016396
-1.8486,9,18.070053
-3.8633,61,19.929886
-4.1117,61,20.307024
