#{"t_start": 1718913807.7167716, "env_id": "onestep-v0"}
r,l,t
-4.6017,61,6.730152
-4.2946,61,7.08748
-2.7557,18,7.217926
-3.5214,32,7.440267
-5.1229,61,7.928439
-3.6,24,10.172313
-1.1,3,10.193318
-3.397,20,10.317841
-4.443,61,10.648176
-4.8945,61,11.111931
-5.6941,61,11.566282
-3.4874,61,13.391167
-1.3587,7,13.44225
-3.2484,17,13.552167
-3.7174,44,13.79092
-2.3172,13,13.924881
-4.2657,36,14.316956
-5.4076,53,14.675846
-5.37,61,15.066991
-2.6071,15,16.69386
-3.6833,61,17.086553
-5.3143,61,17.479282
-2.0831,20,17.587682
-5.349,61,17.952037
-5.5487,49,18.231471
-2.7242,10,19.801026
-3.9213,61,20.157071
